FileName, p_value, k_value, algorithm, radius, time, silhueta, rand_score_value, k-Means_radius, k-Means_elapsedTime
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 20.9717, 0.1270, 0.1366, 0.4453, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 20.2796, 0.1360, 0.3328, 0.6537, 3.8883, 0.0060
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 12.7156, 0.1410, 0.5529, 0.7305, 3.8883, 0.0060
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 17.5900, 0.1400, 0.4163, 0.7082, 3.8883, 0.0060
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 13.4217, 0.1450, 0.3766, 0.5920, 3.8883, 0.0059
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 16.1465, 0.1446, 0.6404, 0.4158, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 12.7292, 0.1340, 0.5553, 0.7235, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 19.7675, 0.1320, 0.2687, 0.4964, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 16.7414, 0.1460, 0.4559, 0.7387, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 17.1821, 0.1350, 0.6911, 0.8862, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 22.2044, 0.1300, 0.3459, 0.6506, 3.8883, 0.0060
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 13.2124, 0.1360, 0.5020, 0.6681, 3.8883, 0.0060
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 17.4348, 0.1320, 0.6246, 0.8194, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 19.5918, 0.1320, 0.4462, 0.6271, 3.8883, 0.0040
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 20.4819, 0.1370, 0.4714, 0.6523, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 22.4055, 0.1340, 0.3311, 0.6319, 3.8883, 0.0060
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 7.8032, 0.1400, 0.6756, 0.7180, 3.8883, 0.0060
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 6.9695, 0.1380, 0.6395, 0.7312, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 19.7495, 0.1340, 0.2980, 0.5263, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 8.0449, 0.1366, 0.6700, 0.7312, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 19.6405, 0.1328, 0.4849, 0.7538, 3.8883, 0.0060
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 18.8007, 0.1310, 0.3856, 0.6246, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 19.9841, 0.1310, 0.3096, 0.4012, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 10.5823, 0.1311, 0.3555, 0.5934, 3.8883, 0.0060
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 4.0617, 0.1290, 0.7879, 0.9907, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 18.2914, 0.1290, 0.3468, 0.6747, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 6.2389, 0.1260, 0.6641, 0.8322, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 13.5437, 0.1225, 0.3736, 0.4407, 3.8883, 0.0050
sintetic_samples/sample4/nCentros.txt, 2, 5.0, adjust, 20.8923, 0.1225, 0.4373, 0.7199, 3.8883, 0.0050
