FileName, p_value, k_value, algorithm, radius, time, silhueta, rand_score_value, k-Means_radius, k-Means_elapsedTime
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.1377, 0.7800, -0.0024, 0.0047, 1.0226, 0.0090
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.0100, 0.7248, -0.0118, 0.0045, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.0804, 0.8200, -0.0083, 0.0055, 1.0226, 0.0073
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.1305, 0.7792, -0.0286, 0.0029, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.1201, 0.7461, -0.0300, 0.0074, 1.0226, 0.0080
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.0018, 0.7415, -0.0428, 0.0049, 1.0226, 0.0084
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.1707, 0.7425, -0.0495, 0.0077, 1.0226, 0.0080
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 0.9235, 0.8975, -0.0093, 0.0012, 1.0226, 0.0086
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.0692, 0.7720, -0.0485, 0.0064, 1.0226, 0.0080
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.0918, 0.7827, -0.0037, 0.0064, 1.0226, 0.0080
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.1821, 0.7292, -0.0294, 0.0046, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 0.9946, 0.7733, -0.0379, -0.0005, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.0856, 0.7724, -0.0042, 0.0032, 1.0226, 0.0080
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.0040, 0.7505, -0.0106, 0.0038, 1.0226, 0.0080
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 0.9459, 0.7347, -0.0274, 0.0088, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.1851, 0.8037, -0.0077, 0.0082, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.1700, 0.8067, -0.0293, 0.0059, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.1707, 0.7364, -0.0206, 0.0040, 1.0226, 0.0100
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 0.9904, 0.7300, -0.0308, 0.0053, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.0577, 0.8219, -0.0036, 0.0008, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.2333, 0.7797, 0.0022, 0.0066, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.2606, 0.7516, -0.0066, 0.0046, 1.0226, 0.0080
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.1700, 0.7407, -0.0195, 0.0056, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.2657, 0.7312, -0.0110, 0.0040, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 0.9904, 0.7297, -0.0288, 0.0063, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.0060, 0.8584, -0.0188, 0.0043, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.1045, 0.7731, -0.0069, -0.0000, 1.0226, 0.0080
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 1.0548, 0.8121, -0.0236, 0.0074, 1.0226, 0.0070
UCI_DATA/UCI_DF5/nCentros.txt, 2, 7.0, adjust, 0.9405, 0.7728, -0.0091, 0.0052, 1.0226, 0.0080
