FileName, p_value, k_value, algorithm, radius, time, silhueta, rand_score_value, k-Means_radius, k-Means_elapsedTime
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 10.7696, 0.0350, 0.4756, 0.5488, 8.0412, 0.0060
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 11.3593, 0.0380, 0.5085, 0.5473, 8.0412, 0.0060
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 10.8067, 0.0400, 0.4480, 0.5079, 8.0412, 0.0060
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 10.2673, 0.0430, 0.5506, 0.5546, 8.0412, 0.0070
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 11.0568, 0.0430, 0.4665, 0.5266, 8.0412, 0.0070
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 11.7241, 0.0410, 0.4183, 0.5004, 8.0412, 0.0060
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 10.0908, 0.0415, 0.6266, 0.5583, 8.0412, 0.0060
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 12.9823, 0.0410, 0.3790, 0.4241, 8.0412, 0.0050
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 16.8025, 0.0430, 0.3098, 0.2538, 8.0412, 0.0070
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 10.9313, 0.0680, 0.5356, 0.5763, 8.0412, 0.0090
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 14.0925, 0.0537, 0.2583, 0.1890, 8.0412, 0.0050
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 9.9328, 0.0451, 0.4641, 0.5274, 8.0412, 0.0083
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 9.1944, 0.0490, 0.5657, 0.5613, 8.0412, 0.0070
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 9.9123, 0.0410, 0.4536, 0.5057, 8.0412, 0.0070
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 12.7661, 0.0370, 0.4551, 0.5162, 8.0412, 0.0070
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 9.7448, 0.0410, 0.5081, 0.5568, 8.0412, 0.0055
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 10.8264, 0.0400, 0.4638, 0.5190, 8.0412, 0.0070
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 9.9593, 0.0420, 0.5177, 0.6004, 8.0412, 0.0060
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 9.5147, 0.0370, 0.5701, 0.5797, 8.0412, 0.0060
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 11.6671, 0.0360, 0.5574, 0.5643, 8.0412, 0.0060
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 9.1812, 0.0380, 0.4940, 0.5299, 8.0412, 0.0050
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 8.9709, 0.0370, 0.4826, 0.5317, 8.0412, 0.0050
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 9.7997, 0.0360, 0.5131, 0.5468, 8.0412, 0.0060
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 10.0871, 0.0350, 0.6352, 0.5532, 8.0412, 0.0050
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 10.1516, 0.0360, 0.4375, 0.5143, 8.0412, 0.0050
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 10.2673, 0.0450, 0.4583, 0.5190, 8.0412, 0.0050
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 10.2977, 0.0400, 0.5333, 0.5690, 8.0412, 0.0050
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 15.1032, 0.0390, 0.5166, 0.5234, 8.0412, 0.0050
sklearn_samples/sample_blobs2.txt, 1, 3, adjust, 9.6116, 0.0360, 0.5990, 0.5778, 8.0412, 0.0050
