FileName, p_value, k_value, algorithm, radius, time, silhueta, rand_score_value, k-Means_radius, k-Means_elapsedTime
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.7085, 0.0447, 0.4166, 0.2528, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.6338, 0.0550, 0.4521, 0.3982, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 2.6614, 0.0520, 0.2315, 0.0194, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.2552, 0.0560, 0.4412, 0.3213, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 2.8388, 0.0570, 0.1687, 0.0838, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 2.1742, 0.0540, 0.2955, 0.0728, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 2.6117, 0.0580, 0.3050, 0.0607, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.8534, 0.0580, 0.3122, 0.3832, 1.0099, 0.0070
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.8197, 0.0610, 0.2627, 0.2989, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.9008, 0.0570, 0.4449, 0.3685, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.6474, 0.0570, 0.3946, 0.1960, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.6338, 0.0590, 0.4539, 0.4292, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.9417, 0.0550, 0.4119, 0.2330, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.9626, 0.0570, 0.4384, 0.3353, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.4849, 0.0580, 0.4526, 0.3982, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.9753, 0.0560, 0.3640, 0.1373, 1.0099, 0.0060
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 2.6852, 0.0570, 0.2094, 0.0539, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.9430, 0.0570, 0.3523, 0.1229, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.1532, 0.0570, 0.4382, 0.3078, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.4139, 0.0590, 0.3293, 0.0032, 1.0099, 0.0060
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 2.3410, 0.0570, 0.3030, 0.0795, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.7422, 0.0580, 0.4184, 0.2487, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.9430, 0.0560, 0.3742, 0.1621, 1.0099, 0.0060
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.1100, 0.0620, 0.4197, 0.2407, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.5962, 0.0590, 0.4525, 0.3982, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.5386, 0.0580, 0.4054, 0.2065, 1.0099, 0.0060
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.4566, 0.0600, 0.4115, 0.2369, 1.0099, 0.0060
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.8338, 0.0610, 0.4345, 0.3170, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 2, 2, adjust, 1.4405, 0.0590, 0.4388, 0.2946, 1.0099, 0.0050
