FileName, p_value, k_value, algorithm, radius, time, silhueta, rand_score_value, k-Means_radius, k-Means_elapsedTime
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.3806, 0.0390, 0.2664, -0.0001, 1.1543, 0.0070
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.4704, 0.0350, 0.2607, -0.0020, 1.1543, 0.0070
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.8397, 0.0440, 0.2470, 0.0117, 1.1543, 0.0080
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.3629, 0.0370, 0.2574, -0.0017, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.9123, 0.0300, 0.2463, 0.0116, 1.1543, 0.0065
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.8414, 0.0305, 0.2552, 0.0335, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.5515, 0.0300, 0.2604, -0.0020, 1.1543, 0.0040
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.5534, 0.0290, 0.2287, 0.0060, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.6163, 0.0280, 0.2614, -0.0012, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.8522, 0.0280, 0.2541, 0.0051, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.1685, 0.0310, 0.2727, 0.0710, 1.1543, 0.0040
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.1479, 0.0290, 0.2325, 0.0419, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.1679, 0.0310, 0.2596, 0.0549, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.0774, 0.0270, 0.2577, 0.0237, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.1717, 0.0280, 0.2906, 0.1014, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.8898, 0.0350, 0.2291, -0.0002, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.5537, 0.0270, 0.2613, -0.0018, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.0134, 0.0350, 0.2289, 0.0180, 1.1543, 0.0055
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.9954, 0.0320, 0.2845, 0.0988, 1.1543, 0.0070
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.0544, 0.0295, 0.2723, 0.0668, 1.1543, 0.0069
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.7647, 0.0313, 0.2465, 0.0001, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.2139, 0.0327, 0.2873, 0.0867, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.0965, 0.0325, 0.2637, 0.0647, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.0549, 0.0290, 0.2474, 0.0017, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.4217, 0.0280, 0.2573, -0.0004, 1.1543, 0.0040
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.1224, 0.0290, 0.2392, 0.0475, 1.1543, 0.0070
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.8489, 0.0310, 0.2237, 0.0109, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 1.9065, 0.0290, 0.2482, 0.0542, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, adjust, 2.4321, 0.0250, 0.2585, -0.0020, 1.1543, 0.0040
