FileName, p_value, k_value, algorithm, radius, time, silhueta, rand_score_value, k-Means_radius, k-Means_elapsedTime
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 10.3246, 0.0460, 0.4895, 0.5340, 8.0412, 0.0060
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 14.7496, 0.0480, 0.1596, 0.1699, 8.0412, 0.0060
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 12.0551, 0.0500, 0.5353, 0.5527, 8.0412, 0.0060
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 13.3411, 0.0540, 0.2245, 0.2462, 8.0412, 0.0060
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 12.2851, 0.0550, 0.4353, 0.5172, 8.0412, 0.0060
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 15.0810, 0.0460, 0.0721, 0.0816, 8.0412, 0.0050
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 10.1312, 0.0470, 0.5367, 0.5708, 8.0412, 0.0050
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 12.9161, 0.0430, 0.0942, 0.0579, 8.0412, 0.0060
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 12.4966, 0.0485, 0.5628, 0.5580, 8.0412, 0.0050
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 13.6613, 0.0550, 0.3099, 0.2078, 8.0412, 0.0060
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 11.3988, 0.0540, 0.3424, 0.3387, 8.0412, 0.0060
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 13.7431, 0.0510, 0.4738, 0.5226, 8.0412, 0.0050
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 8.4727, 0.0460, 0.5992, 0.5731, 8.0412, 0.0058
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 9.7997, 0.0548, 0.4735, 0.5276, 8.0412, 0.0070
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 10.2932, 0.0480, 0.4507, 0.5006, 8.0412, 0.0050
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 13.6556, 0.0500, 0.1300, 0.1285, 8.0412, 0.0050
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 15.2772, 0.0590, 0.0698, 0.0791, 8.0412, 0.0070
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 10.8121, 0.0550, 0.4570, 0.5135, 8.0412, 0.0070
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 10.3308, 0.0490, 0.4526, 0.5209, 8.0412, 0.0050
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 14.1963, 0.0530, 0.1035, 0.0745, 8.0412, 0.0060
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 15.8296, 0.0510, -0.0034, 0.0372, 8.0412, 0.0050
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 9.6784, 0.0510, 0.4915, 0.5244, 8.0412, 0.0060
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 10.0430, 0.0570, 0.4499, 0.5024, 8.0412, 0.0120
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 12.7762, 0.0550, 0.4672, 0.5177, 8.0412, 0.0090
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 13.5601, 0.0640, 0.5725, 0.5442, 8.0412, 0.0100
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 12.1714, 0.0710, 0.3998, 0.4510, 8.0412, 0.0070
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 10.8855, 0.0540, 0.6159, 0.5625, 8.0412, 0.0070
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 10.9511, 0.0560, 0.4416, 0.4965, 8.0412, 0.0080
sklearn_samples/sample_varied1.txt, 1, 3, adjust, 9.3886, 0.0615, 0.4573, 0.5137, 8.0412, 0.0060
