FileName, p_value, k_value, algorithm, radius, time, silhueta, rand_score_value, k-Means_radius, k-Means_elapsedTime
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 9.2375, 0.0050, 0.6207, 0.7080, 3.6134, 0.1207
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.9194, 0.0060, 0.6662, 0.8870, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 7.8333, 0.0060, 0.6130, 0.6919, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 9.2666, 0.0070, 0.5714, 0.7257, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 8.6208, 0.0050, 0.6245, 0.7175, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.5040, 0.0060, 0.6225, 0.7051, 3.6134, 0.0070
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.9194, 0.0070, 0.6662, 0.8870, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 7.2310, 0.0070, 0.5416, 0.7147, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 7.2310, 0.0060, 0.6545, 0.8415, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 8.3311, 0.0080, 0.6245, 0.7175, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 8.7679, 0.0070, 0.6245, 0.7175, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.7978, 0.0060, 0.5849, 0.6669, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.9194, 0.0070, 0.6662, 0.8870, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 7.4750, 0.0070, 0.6037, 0.6716, 3.6134, 0.0050
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 7.0825, 0.0070, 0.5485, 0.6542, 3.6134, 0.0050
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.5040, 0.0070, 0.6239, 0.7081, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.5040, 0.0070, 0.6239, 0.7081, 3.6134, 0.0050
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.9194, 0.0070, 0.6662, 0.8870, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.9194, 0.0070, 0.6662, 0.8870, 3.6134, 0.0050
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 7.1754, 0.0060, 0.6164, 0.7106, 3.6134, 0.0070
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.9941, 0.0060, 0.6174, 0.6952, 3.6134, 0.0080
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.9911, 0.0070, 0.5490, 0.6536, 3.6134, 0.0050
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 7.2310, 0.0090, 0.5251, 0.6873, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 9.2666, 0.0080, 0.5511, 0.6843, 3.6134, 0.0050
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 8.9875, 0.0050, 0.6204, 0.7096, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 7.0175, 0.0080, 0.5999, 0.6840, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 9.2666, 0.0070, 0.5598, 0.7187, 3.6134, 0.0060
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 6.9194, 0.0070, 0.6662, 0.8870, 3.6134, 0.0050
sintetic_samples/sample4/sample4_sqtd0.5.txt, 1, 5.0, greedy, 7.2310, 0.0070, 0.6426, 0.8158, 3.6134, 0.0060
