FileName, p_value, k_value, algorithm, radius, time, silhueta, rand_score_value, k-Means_radius, k-Means_elapsedTime
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.3000, 0.0000, 0.4584, 0.3685, 1.0099, 0.1320
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.3279, 0.0010, 0.4348, 0.2947, 1.0099, 0.0030
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.8701, 0.0010, 0.4810, 0.3684, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.2308, 0.0020, 0.4847, 0.2405, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.5375, 0.0010, 0.4480, 0.3637, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.0321, 0.0020, 0.4797, 0.3587, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.3483, 0.0010, 0.3849, 0.0305, 1.0099, 0.0060
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.3748, 0.0010, 0.2922, 0.0584, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.3209, 0.0010, 0.3001, 0.0645, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.4075, 0.0020, 0.4512, 0.3637, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.0559, 0.0010, 0.3078, 0.0728, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.4110, 0.0010, 0.4578, 0.3259, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.6725, 0.0010, 0.4420, 0.3169, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.2399, 0.0010, 0.2910, 0.0528, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.4461, 0.0010, 0.2876, 0.0546, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.0605, 0.0010, 0.4711, 0.3492, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.9457, 0.0010, 0.4822, 0.3733, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.3632, 0.0010, 0.4613, 0.3214, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.7032, 0.0010, 0.3347, 0.1037, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.8045, 0.0010, 0.3565, 0.1312, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.8719, 0.0010, 0.4846, 0.3492, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.0635, 0.0010, 0.4852, 0.3258, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.9639, 0.0010, 0.4827, 0.3882, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.9275, 0.0010, 0.2788, 0.0471, 1.0099, 0.0050
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.4031, 0.0010, 0.4411, 0.3124, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.3805, 0.0010, 0.4465, 0.3260, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 2.3073, 0.0010, 0.4744, 0.3636, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.8550, 0.0010, 0.4764, 0.3398, 1.0099, 0.0040
sklearn_samples/sample_moons1.txt, 1, 2, greedy, 1.9595, 0.0010, 0.4820, 0.3782, 1.0099, 0.0040
