FileName, p_value, k_value, algorithm, radius, time, silhueta, rand_score_value, k-Means_radius, k-Means_elapsedTime
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.8742, 0.0010, 0.2900, 0.0278, 1.1543, 0.1310
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.6731, 0.0020, 0.2937, 0.0213, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.6536, 0.0010, 0.3218, -0.0010, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.8186, 0.0010, 0.3103, 0.0188, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.9879, 0.0020, 0.2953, 0.0367, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.7687, 0.0010, 0.2980, 0.0278, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.8359, 0.0010, 0.2900, 0.0485, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.8851, 0.0010, 0.3219, 0.0038, 1.1543, 0.0040
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.6156, 0.0010, 0.3231, -0.0001, 1.1543, 0.0040
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.8996, 0.0010, 0.3214, 0.0038, 1.1543, 0.0040
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.8929, 0.0010, 0.3270, 0.0044, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 2.1193, 0.0010, 0.3258, 0.0044, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 2.2236, 0.0010, 0.3390, 0.0044, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 2.2690, 0.0010, 0.3411, 0.0026, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 2.1193, 0.0010, 0.3248, 0.0088, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.8536, 0.0010, 0.2903, 0.0382, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.7144, 0.0010, 0.2937, 0.0213, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.7802, 0.0020, 0.3010, 0.0238, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.8974, 0.0010, 0.2891, 0.0399, 1.1543, 0.0040
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 2.0538, 0.0032, 0.3216, 0.0072, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.7591, 0.0010, 0.3195, 0.0044, 1.1543, 0.0040
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.9967, 0.0010, 0.3244, 0.0072, 1.1543, 0.0055
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.6094, 0.0011, 0.2858, 0.0108, 1.1543, 0.0053
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.9307, 0.0011, 0.3218, 0.0088, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.7971, 0.0020, 0.2804, 0.0041, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.9815, 0.0016, 0.3244, 0.0011, 1.1543, 0.0040
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.8891, 0.0010, 0.2939, 0.0449, 1.1543, 0.0060
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.8197, 0.0010, 0.2813, 0.0541, 1.1543, 0.0050
sklearn_samples/sample_noisy_circles1.txt, 1, 2, greedy, 1.6679, 0.0010, 0.3024, 0.0201, 1.1543, 0.0060
