FileName, p_value, k_value, algorithm, radius, time, silhueta, rand_score_value, k-Means_radius, k-Means_elapsedTime
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 4.9267, 0.0020, 0.5633, 0.5911, 4.2182, 0.1270
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 4.5217, 0.0010, 0.7017, 0.9703, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 6.2927, 0.0010, 0.6528, 0.7447, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 6.5179, 0.0020, 0.6627, 0.7507, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 4.6682, 0.0020, 0.7035, 0.9586, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 6.2748, 0.0020, 0.6506, 0.7401, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 4.3975, 0.0020, 0.6967, 0.9703, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 6.2748, 0.0010, 0.6528, 0.7447, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.7169, 0.0020, 0.7057, 0.9191, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.5497, 0.0020, 0.5331, 0.5775, 4.2182, 0.0045
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.9241, 0.0020, 0.7011, 0.9415, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.5497, 0.0020, 0.6396, 0.6788, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 6.5142, 0.0010, 0.6461, 0.6982, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 6.2663, 0.0010, 0.6478, 0.7355, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.5497, 0.0020, 0.6195, 0.6361, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 6.5599, 0.0010, 0.6430, 0.6963, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.5423, 0.0020, 0.5422, 0.5723, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 4.7145, 0.0020, 0.6878, 0.9644, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 6.3099, 0.0020, 0.6528, 0.7447, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.5497, 0.0020, 0.6214, 0.6386, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 6.2973, 0.0020, 0.6943, 0.8554, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 4.4952, 0.0020, 0.7017, 0.9703, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.8482, 0.0010, 0.6756, 0.9415, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.5497, 0.0030, 0.6343, 0.6665, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 4.9731, 0.0030, 0.7053, 0.9415, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.5497, 0.0020, 0.6232, 0.6412, 4.2182, 0.0040
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 4.8074, 0.0010, 0.6938, 0.9761, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 4.4745, 0.0020, 0.7017, 0.9703, 4.2182, 0.0050
sklearn_samples/sample_varied2.txt, 2, 3, greedy, 5.5497, 0.0010, 0.6105, 0.6240, 4.2182, 0.0050
